================================================================================
MARINE SOUND CATALOG — Galápagos Hydrophone Recordings
================================================================================

──────────────────────────────────────────────────────────────────────
FILE: 5783.040122170635.wav
  Unit: 5783  |  Recorded: 2004-01-22 17:06:35
  Segments: 121

          Time  Acoustic Label             PANNs Category   PANNs Top Sound              NDSI
   05:10-05:20  near-silence               ambient          Silence                    -0.889
   05:20-05:30  near-silence               ambient          Silence                    -0.796
   05:30-05:40  near-silence               ambient          Silence                    -0.846
   05:40-05:50  near-silence               ambient          Silence                    -0.838
   05:50-06:00  near-silence               ambient          Silence                    -0.847
   06:00-06:10  near-silence               ambient          Silence                    -0.848
   06:10-06:20  near-silence               ambient          Silence                    -0.872
   06:20-06:30  near-silence               ambient          Silence                    -0.849
   06:30-06:40  near-silence               ambient          Silence                    -0.866
   06:40-06:50  near-silence               ambient          Silence                    -0.847
   06:50-07:00  near-silence               ambient          Silence                    -0.847
   07:00-07:10  near-silence               ambient          Silence                    -0.865
   07:10-07:20  near-silence               ambient          Silence                    -0.878
   07:20-07:30  near-silence               ambient          Silence                    -0.877
   07:30-07:40  near-silence               biological       Silence                    -0.894
   07:40-07:50  near-silence               ambient          Silence                    -0.854
   07:50-08:00  near-silence               ambient          Silence                    -0.858
   08:00-08:10  near-silence               ambient          Silence                    -0.867
   08:10-08:20  near-silence               ambient          Silence                    -0.835
   08:20-08:30  near-silence               ambient          Silence                    -0.847
   08:30-08:40  near-silence               ambient          Silence                    -0.823
   08:40-08:50  near-silence               ambient          Silence                    -0.852
   08:50-09:00  near-silence               ambient          Silence                    -0.854
   09:00-09:10  near-silence               ambient          Silence                    -0.822
   09:10-09:20  near-silence               ambient          Silence                    -0.900
   09:20-09:30  near-silence               ambient          Silence                    -0.845
   09:30-09:40  near-silence               ambient          Silence                    -0.818
   09:40-09:50  near-silence               ambient          Silence                    -0.816
   09:50-10:00  near-silence               ambient          Silence                    -0.826

──────────────────────────────────────────────────────────────────────
FILE: 6478.230724044251.wav
  Unit: 6478  |  Recorded: 2023-07-24 04:42:51
  Segments: 60

          Time  Acoustic Label             PANNs Category   PANNs Top Sound              NDSI
  ────────────  ─────────────────────────  ───────────────  ─────────────────────────  ──────
   00:00-00:10  vessel noise               unknown          Music                      -0.989
   00:10-00:20  near-silence               ambient          Silence                    -0.032
   00:20-00:30  near-silence               ambient          Silence                    -0.033
   00:30-00:40  near-silence               ambient          Silence                    -0.034
   00:40-00:50  near-silence               ambient          Silence                    -0.032
   00:50-01:00  near-silence               ambient          Silence                    -0.033
   01:00-01:10  near-silence               ambient          Silence                    -0.034
   01:10-01:20  near-silence               ambient          Silence                    -0.035
   01:20-01:30  near-silence               ambient          Silence                    -0.035
   01:30-01:40  near-silence               ambient          Silence                    -0.034
   01:40-01:50  near-silence               ambient          Silence                    -0.035
   01:50-02:00  near-silence               ambient          Silence                    -0.036
   02:00-02:10  near-silence               ambient          Silence                    -0.035
   02:10-02:20  near-silence               ambient          Silence                    -0.033
   02:20-02:30  near-silence               ambient          Silence                    -0.035
   02:30-02:40  near-silence               ambient          Silence                    -0.035
   02:40-02:50  near-silence               ambient          Silence                    -0.036
   02:50-03:00  near-silence               ambient          Silence                    -0.035
   03:00-03:10  near-silence               ambient          Silence                    -0.034
   03:10-03:20  near-silence               ambient          Silence                    -0.035
   03:20-03:30  near-silence               ambient          Silence                    -0.034
   03:30-03:40  near-silence               ambient          Silence                    -0.034
   03:40-03:50  near-silence               ambient          Silence                    -0.033
   03:50-04:00  near-silence               ambient          Silence                    -0.035
   04:00-04:10  near-silence               ambient          Silence                    -0.034
   04:10-04:20  near-silence               ambient          Silence                    -0.034
   04:20-04:30  near-silence               ambient          Silence                    -0.035
   04:30-04:40  near-silence               ambient          Silence                    -0.033
   04:40-04:50  near-silence               ambient          Silence                    -0.034
   04:50-05:00  near-silence               ambient          Silence                    -0.034
   05:00-05:10  near-silence               ambient          Silence                    -0.033
   05:10-05:20  near-silence               ambient          Silence                    -0.051
   05:20-05:30  near-silence               ambient          Silence                    -0.041
   05:30-05:40  near-silence               ambient          Silence                    -0.035
   05:40-05:50  near-silence               ambient          Silence                    -0.034
   05:50-06:00  near-silence               ambient          Silence                    -0.034
   06:00-06:10  near-silence               ambient          Silence                    -0.033
   06:10-06:20  near-silence               ambient          Silence                    -0.033
   06:20-06:30  near-silence               ambient          Silence                    -0.034
   06:30-06:40  near-silence               ambient          Silence                    -0.033
   06:40-06:50  near-silence               ambient          Silence                    -0.033
   06:50-07:00  near-silence               ambient          Silence                    -0.035
   07:00-07:10  near-silence               ambient          Silence                    -0.038
   07:10-07:20  near-silence               ambient          Silence                    -0.035
   07:20-07:30  near-silence               ambient          Silence                    -0.051
   07:30-07:40  near-silence               ambient          Silence                    -0.034
   07:40-07:50  near-silence               ambient          Silence                    -0.033
   07:50-08:00  near-silence               ambient          Silence                    -0.033
   08:00-08:10  near-silence               ambient          Silence                    -0.034
